rings	['calinski_harabasz_score', 'point_biserial', 'Banfeld_Raferty']	0.4251122012316043	['calinski_harabasz_score', 'point_biserial', 'Davies_Bouldin']	0.4251122012316043	['calinski_harabasz_score', 'point_biserial', 'Dunns_index']	0.4251122012316043
tae	['s_dbw', 'modified_hubert_t', 'Banfeld_Raferty']	0.9999582507045195	['s_dbw', 'modified_hubert_t', 'Davies_Bouldin']	0.9999582507045195	['s_dbw', 'modified_hubert_t', 'Dunns_index']	0.9999582507045195
zelnik1	['IIndex', 's_dbw', 'Banfeld_Raferty']	0.36457572278467804	['IIndex', 's_dbw', 'Davies_Bouldin']	0.36457572278467804	['IIndex', 's_dbw', 'Dunns_index']	0.36457572278467804
long1	['modified_hubert_t', 'Davies_Bouldin', 'Banfeld_Raferty']	0.420979020979021	['modified_hubert_t', 'Davies_Bouldin', 'Dunns_index']	0.420979020979021	['modified_hubert_t', 'Davies_Bouldin', 'McClain_Rao']	0.420979020979021
sizes1	['i_index', 'PBM_index', 'Banfeld_Raferty']	0.4156351111574993	['IIndex', 'PBM_index', 'Banfeld_Raferty']	0.4156351111574993	['i_index', 'PBM_index', 'Davies_Bouldin']	0.4156351111574993
longsquare	['calinski_harabasz_score', 'Dunns_index', 'Banfeld_Raferty']	0.3738858156768605	['calinski_harabasz_score', 'Dunns_index', 'Davies_Bouldin']	0.3738858156768605	['calinski_harabasz_score', 'Dunns_index', 'McClain_Rao']	0.3738858156768605
square3	['Ray_Turi', 'Dunns_index', 'Banfeld_Raferty']	0.369669136833316	['Ray_Turi', 'Dunns_index', 'Davies_Bouldin']	0.369669136833316	['Ray_Turi', 'Dunns_index', 'McClain_Rao']	0.369669136833316
thy	['silhouette', 'McClain_Rao', 'Banfeld_Raferty']	0.27080680513516336	['silhouette', 'McClain_Rao', 'Davies_Bouldin']	0.27080680513516336	['silhouette', 'McClain_Rao', 'Dunns_index']	0.27080680513516336
triangle2	['Ratkowsky_Lance', 'Banfeld_Raferty', 'Davies_Bouldin']	0.3929234944160318	['Ratkowsky_Lance', 'Banfeld_Raferty', 'Dunns_index']	0.3929234944160318	['Ratkowsky_Lance', 'Banfeld_Raferty', 'McClain_Rao']	0.3929234944160318
sonar	['s_dbw', 'modified_hubert_t', 'Banfeld_Raferty']	1.0	['s_dbw', 'modified_hubert_t', 'Davies_Bouldin']	1.0	['s_dbw', 'modified_hubert_t', 'Dunns_index']	1.0
spherical_4_3	['modified_hubert_t', 'i_index', 'Banfeld_Raferty']	0.3763907734056989	['IIndex', 'i_index', 'Banfeld_Raferty']	0.3763907734056989	['modified_hubert_t', 'i_index', 'Davies_Bouldin']	0.3763907734056989
heart-statlog	['SDBW', 'modified_hubert_t', 'Banfeld_Raferty']	0.9389625300073062	['SDBW', 'modified_hubert_t', 'Davies_Bouldin']	0.9389625300073062	['SDBW', 'modified_hubert_t', 'Dunns_index']	0.9389625300073062
smile1	['calinski_harabasz_score', 'Davies_Bouldin', 'Banfeld_Raferty']	0.4277424068468845	['calinski_harabasz_score', 'Davies_Bouldin', 'Dunns_index']	0.4277424068468845	['calinski_harabasz_score', 'Davies_Bouldin', 'McClain_Rao']	0.4277424068468845
target	['Ray_Turi', 'Davies_Bouldin', 'Banfeld_Raferty']	0.4959190063667676	['Ray_Turi', 'Davies_Bouldin', 'Dunns_index']	0.4959190063667676	['Ray_Turi', 'Davies_Bouldin', 'McClain_Rao']	0.4959190063667676
sizes3	['c_index', 'PBM_index', 'Banfeld_Raferty']	0.5066485753052918	['c_index', 'PBM_index', 'Davies_Bouldin']	0.5066485753052918	['c_index', 'PBM_index', 'Dunns_index']	0.5066485753052918
haberman	['SDBW', 's_dbw', 'Banfeld_Raferty']	0.7671224298089971	['SDBW', 's_dbw', 'Davies_Bouldin']	0.7671224298089971	['SDBW', 's_dbw', 'Dunns_index']	0.7671224298089971
twodiamonds	['IIndex', 'Ratkowsky_Lance', 'Banfeld_Raferty']	0.4584698883206346	['IIndex', 'Ratkowsky_Lance', 'Davies_Bouldin']	0.4584698883206346	['IIndex', 'Ratkowsky_Lance', 'Dunns_index']	0.4584698883206346
zelnik3	['modified_hubert_t', 'Ratkowsky_Lance', 'Banfeld_Raferty']	0.5175868907212192	['modified_hubert_t', 'Ratkowsky_Lance', 'Davies_Bouldin']	0.5175868907212192	['modified_hubert_t', 'Ratkowsky_Lance', 'Dunns_index']	0.5175868907212192
hypercube	['calinski_harabasz_score', 'Scott_Symons', 'Banfeld_Raferty']	0.3649932157394844	['calinski_harabasz_score', 'Scott_Symons', 'Davies_Bouldin']	0.3649932157394844	['calinski_harabasz_score', 'Scott_Symons', 'Dunns_index']	0.3649932157394844
jain	['silhouette', 'i_index', 'Banfeld_Raferty']	0.39860139860139865	['silhouette', 'i_index', 'Davies_Bouldin']	0.39860139860139865	['silhouette', 'i_index', 'Dunns_index']	0.39860139860139865
zelnik5	['c_index', 'PBM_index', 'Banfeld_Raferty']	0.36891764951466455	['c_index', 'PBM_index', 'Davies_Bouldin']	0.36891764951466455	['c_index', 'PBM_index', 'Dunns_index']	0.36891764951466455
iris	['calinski_harabasz_score', 'PBM_index', 'Banfeld_Raferty']	0.32136520196221696	['calinski_harabasz_score', 'PBM_index', 'Davies_Bouldin']	0.32136520196221696	['calinski_harabasz_score', 'PBM_index', 'Dunns_index']	0.32136520196221696
gaussians1	['s_dbw', 'Dunns_index', 'Banfeld_Raferty']	0.5751174198935394	['s_dbw', 'Dunns_index', 'Davies_Bouldin']	0.5751174198935394	['s_dbw', 'Dunns_index', 'McClain_Rao']	0.5751174198935394
zelnik4	['calinski_harabasz_score', 'IIndex', 'Banfeld_Raferty']	0.38853981839056473	['calinski_harabasz_score', 'IIndex', 'Davies_Bouldin']	0.38853981839056473	['calinski_harabasz_score', 'IIndex', 'Dunns_index']	0.38853981839056473
spiral	['SDBW', 'modified_hubert_t', 'Banfeld_Raferty']	0.8092057196534811	['SDBW', 'modified_hubert_t', 'Davies_Bouldin']	0.8092057196534811	['SDBW', 'modified_hubert_t', 'Dunns_index']	0.8092057196534811
segment	['Dunns_index', 'Banfeld_Raferty', 'Davies_Bouldin']	0.41346414779250606	['Dunns_index', 'Banfeld_Raferty', 'McClain_Rao']	0.41346414779250606	['Dunns_index', 'Banfeld_Raferty', 'PBM_index']	0.41346414779250606
square1	['Ratkowsky_Lance', 'PBM_index', 'Banfeld_Raferty']	0.45137250808892615	['Ratkowsky_Lance', 'PBM_index', 'Davies_Bouldin']	0.45137250808892615	['Ratkowsky_Lance', 'PBM_index', 'Dunns_index']	0.45137250808892615
square5	['modified_hubert_t', 'PBM_index', 'Banfeld_Raferty']	0.33130153428660897	['modified_hubert_t', 'PBM_index', 'Davies_Bouldin']	0.33130153428660897	['modified_hubert_t', 'PBM_index', 'Dunns_index']	0.33130153428660897
