dataset	min_samples	cluster_method	p	n_jobs	nmi
triangle1	2	xi	2		0.4324430994899531
tae	2	xi	2		0.2981377890753055
twenty	2	xi	2		0.5994116768640437
threenorm	2	xi	2		0.250246015077275
square2	2	xi	2		0.41834346619198354
flame	2	xi	2		0.2852670396553208
disk-3000n	2	xi	2		0.27396013905341066
d31	2	xi	2		0.6057422193477309
aggregation	2	xi	2		0.474315308448006
zelnik4	2	xi	2		0.46218074413458193
2sp2glob	2	xi	2		0.593351980517263
glass	2	xi	2		0.426085260393467
square1	2	xi	2		0.42415575054725707
2d-3c-no123	2	xi	2		0.35661017652504196
disk-4500n	2	xi	2		0.2585925149395799
sizes1	2	xi	2		0.4072138328430021
long3	2	xi	2		0.2538607239338515
cuboids	2	xi	2		0.4135040160824712
donutcurves	2	xi	2		0.7562761678973255
st900	2	xi	2		0.5222912336666184
tetra	2	xi	2		0.46590184773320653
zelnik3	3	xi	1		0.43572468201895337
spherical_4_3	3	xi	1		0.4311971431862934
fourty	3	xi	1		0.6382218877797422
lsun	3	xi	1		0.36991693973381934
diamond9	3	xi	1		0.4635905554782959
ds850	3	xi	1		0.4091203257144334
elly-2d10c13s	3	xi	1		0.37170232081688187
pathbased	3	xi	1		0.38939683837107586
R15	3	xi	1		0.5524760773236335
spherical_6_2	3	xi	1		0.5105078537407339
shapes	3	xi	1		0.4179712769585708
2dnormals	3	xi	1		0.21171607176364532
dpc	3	xi	1		0.39232991368209186
twodiamonds	3	xi	1		0.2845574579671834
ds2c2sc13	3	xi	1		0.5097008974303052
donut3	3	xi	1		0.5152177690989943
simplex	3	xi	1		0.33059672039750243
2d-20c-no0	3	xi	1		0.5302862017255635
disk-5000n	3	xi	1		0.213426092999178
DS-577	3	xi	1		0.33740276979308437
zoo	3	xi	1		0.6162911932019483
square3	3	xi	1		0.3560501045326448
sonar	3	xi	1		0.2703872876224647
donut1	3	xi	1		0.5415092003917988
disk-4600n	3	xi	1		0.17843454657197708
sizes5	3	xi	1		0.2567195727582595
thy	3	xi	1		0.2780790060124561
cure-t1-2000n-2D	3	xi	1		0.38734962983180926
blobs	3	xi	1		0.3550901940091875
dense-disk-5000	3	xi	1		0.23481097688429547
heart-statlog	3	xi	1		0.12025592782206618
dense-disk-3000	3	xi	1		0.23823161680404323
ds3c3sc6	3	xi	1		0.34303111277104315
donut2	3	xi	1		0.5275197295183264
dartboard1	3	xi	1		1.0
smile1	3	xi	1		0.5113680795142825
2d-10c	3	xi	1		0.4391967237975085
impossible	3	xi	1		0.5422385532576269
aml28	3	xi	1		0.3124198161281153
zelnik2	3	xi	1		0.4288274689134694
banana	3	xi	1		0.23389461011099746
compound	3	xi	1		0.38737721166575206
zelnik6	3	xi	1		0.3835193774907745
sizes3	3	xi	1		0.32508403445826267
spiral	3	xi	1		1.0
sizes2	3	xi	1		0.3309880328705251
iris	3	xi	1		0.32588832959525454
hypercube	3	xi	1		0.3924253797404566
engytime	3	xi	1		0.23054470239542288
circle	3	xi	1		0.2606632167134115
longsquare	3	xi	1		0.4579543410345512
zelnik1	3	xi	1		0.38107877748797536
iono	3	xi	1		0.1337367578038048
square5	3	xi	1		0.3116966277753644
curves1	3	xi	1		1.0
3-spiral	3	xi	1		0.3141817643277575
DS-850	3	xi	1		0.4091203257144334
rings	3	xi	1		0.31137314593742965
cure-t2-4k	3	xi	1		0.39096042147838267
2d-4c-no4	3	xi	1		0.35628533717273414
disk-1000n	3	xi	1		0.2637302302062036
complex9	3	xi	1		0.41929988458780526
ecoli	3	xi	1		0.2932880789360787
target	3	xi	1		0.3301901632144021
3MC	3	xi	1		0.4201722873745734
xor	3	xi	1		0.33018937488715455
xclara	3	xi	1		0.32044988160927934
cure-t0-2000n-2D	3	xi	1		0.27548260897841464
dartboard2	3	xi	1		1.0
spherical_5_2	3	xi	1		0.49731451742092286
ds577	3	xi	1		0.33740276979308437
elliptical_10_2	3	xi	1		0.5669973222269464
wingnut	3	xi	1		0.2723157401792629
triangle2	3	xi	1		0.38227709737421894
smile2	3	xi	1		0.5266452864226121
disk-4000n	3	xi	1		0.2180537559812988
jain	3	xi	1		0.28975981041210264
2d-4c	3	xi	1		0.3472947833967747
long1	3	xi	1		0.271593159335625
sizes4	3	xi	1		0.28757642019916285
curves2	3	xi	1		1.0
square4	3	xi	1		0.3454143053101642
chainlink	3	xi	1		0.2506539141103215
ds4c2sc8	3	xi	1		0.41623560555726336
spiralsquare	3	xi	1		0.7519407329143679
gaussians1	3	xi	1		0.3350735475605155
smile3	3	xi	1		0.6041848549638069
dpb	3	xi	1		0.3560391626339609
complex8	3	xi	1		0.4282098907984989
haberman	3	xi	1		0.06582107586343497
pmf	3	xi	1		0.3274936676418084
atom	3	xi	1		0.27353925103722004
zelnik5	3	xi	1		0.41551419132508927
long2	3	xi	1		0.27211711601253097
2d-4c-no9	3	xi	1		0.37698772926795626
