elly2_d3_c15	2	k-means++	300	10	auto	0.332158627134773
elly1_d4_c17	2	k-means++	300	10	auto	0.27565320897166284
elly0_d3_c7	2	k-means++	300	10	auto	0.47530433158328494
disk-t0-500n-1s	2	k-means++	300	10	auto	0.0001040600025821321
elly0_d3_c20	2	k-means++	300	10	auto	0.2892664983196424
4d-7c-no0	2	k-means++	300	10	auto	0.44835731427623104
2d-2c-no1	2	k-means++	300	10	auto	1.0
ds2c2sc13	2	k-means++	300	10	auto	0.43076444504029576
pathbased	2	k-means++	300	10	auto	0.49099715322938187
elly1_d4_c30	2	k-means++	300	10	auto	0.2660520822849885
2d-15c-no1	2	k-means++	300	10	auto	0.3674595578073796
cure-t0-500n-3D-2S	2	k-means++	300	10	auto	0.45250266545436135
3d-30c-no0	2	k-means++	300	10	auto	0.3037404095818346
elly0_d2_c40	2	k-means++	300	10	auto	0.2579872690969138
banana	2	k-means++	300	10	auto	0.33991613386730474
spherical_4_3	2	k-means++	300	10	auto	0.6666666666666679
cure-t2-500n-5D-7S	2	k-means++	300	10	auto	0.5443788418860338
elly2_d4_c40	2	k-means++	300	10	auto	0.26856828717892683
elly0_d2_c7	2	k-means++	300	10	auto	0.4136451448581108
3d-10c-no2	2	k-means++	300	10	auto	0.3555310072664859
2d-3c-no123	2	k-means++	300	10	auto	0.742470838116431
cure-t2-500n-5D-5S	2	k-means++	300	10	auto	0.5415165303296813
4d-40c-no2	2	k-means++	300	10	auto	0.26805600912896277
complex9	2	k-means++	300	10	auto	0.3891354605622293
2d-10c-no0	2	k-means++	300	10	auto	0.40825682847921235
disk-3000n	2	k-means++	300	10	auto	2.1720287152641606e-05
2d-5c-no0	2	k-means++	300	10	auto	0.5562723866338187
flame	2	k-means++	300	10	auto	0.3987957374536852
elly0_d4_c5	2	k-means++	300	10	auto	0.560788687943474
elly0_d3_c10	2	k-means++	300	10	auto	0.30797423947610236
cure-t2-500n-5D-1S	2	k-means++	300	10	auto	0.5375246132823804
iono	2	k-means++	300	10	auto	0.13485692093441007
4d-5c-no1	2	k-means++	300	10	auto	0.46541790461353627
twenty	2	k-means++	300	10	auto	0.36190322131524444
cure-t1-500n-4D-5S	2	k-means++	300	10	auto	0.6056708741692347
2d-4c-no4	2	k-means++	300	10	auto	0.7576934505923765
4d-25c-no1	2	k-means++	300	10	auto	0.27790384714929006
elly0_d4_c2	2	k-means++	300	10	auto	0.8951887580776727
cure-t0-500n-3D-1S	2	k-means++	300	10	auto	0.42843624511243183
iris	2	k-means++	300	10	auto	0.6565191143081124
2d-40c-no0	2	k-means++	300	10	auto	0.31668800625610927
cure-t0-500n-4D-2S	2	k-means++	300	10	auto	0.45250266545436135
cure-t1-500n-4D-3S	2	k-means++	300	10	auto	0.6056708741692348
zelnik2	2	k-means++	300	10	auto	0.5035596810686214
elly1_d4_c2	2	k-means++	300	10	auto	0.4491972627024894
elly1_d3_c30	2	k-means++	300	10	auto	0.2295849235428083
cure-t0-500n-4D-6S	2	k-means++	300	10	auto	0.5453446812831789
elly0_d4_c20	2	k-means++	300	10	auto	0.2548231601348687
sizes3	2	k-means++	300	10	auto	0.5765784709095217
2d-40c-no1	2	k-means++	300	10	auto	0.2976165559377921
4d-35c-no0	2	k-means++	300	10	auto	0.2772356525880921
long1	2	k-means++	300	10	auto	0.0011580963464610458
spherical_5_2	2	k-means++	300	10	auto	0.48212010240005915
4d-2c-no2	2	k-means++	300	10	auto	1.0
DS-850	2	k-means++	300	10	auto	0.47537974712883163
lsun	2	k-means++	300	10	auto	0.6491389545399219
gaussians1	2	k-means++	300	10	auto	1.0
cure-t0-500n-3D-3S	2	k-means++	300	10	auto	0.5124173819639914
4d-12c-no1	2	k-means++	300	10	auto	0.3191063793029581
ecoli	2	k-means++	300	10	auto	0.4299551235523929
long3	2	k-means++	300	10	auto	0.002106466475433382
2d-20c-no2	2	k-means++	300	10	auto	0.3677123474457363
cure-t0-500n-5D-7S	2	k-means++	300	10	auto	0.46727048239530455
cuboids	2	k-means++	300	10	auto	0.6132215066558356
elly1_d3_c40	2	k-means++	300	10	auto	0.2686266068358647
elly1_d2_c2	2	k-means++	300	10	auto	0.5580809669085652
3d-10c-no0	2	k-means++	300	10	auto	0.3649669704133906
square1	2	k-means++	300	10	auto	0.6077171636500127
zelnik5	2	k-means++	300	10	auto	0.6669921540718916
elly0_d4_c15	2	k-means++	300	10	auto	0.2938585192263416
cure-t1-500n-3D-2S	2	k-means++	300	10	auto	0.6056708741692347
haberman	2	k-means++	300	10	auto	0.0009092019729105994
twodiamonds	2	k-means++	300	10	auto	1.0
3d-7c-no2	2	k-means++	300	10	auto	0.5062411803599673
3MC	2	k-means++	300	10	auto	0.44922286863634064
cure-t0-500n-4D-1S	2	k-means++	300	10	auto	0.45250266545436135
elly2_d3_c35	2	k-means++	300	10	auto	0.2530716026042678
3d-5c-no2	2	k-means++	300	10	auto	0.4241141421077281
donut2	2	k-means++	300	10	auto	0.0049313102004969675
2d-15c-no0	2	k-means++	300	10	auto	0.3895831954341828
elly0_d4_c7	2	k-means++	300	10	auto	0.50831143584048
elly0_d2_c35	2	k-means++	300	10	auto	0.284676345616898
2d-5c-no1	2	k-means++	300	10	auto	0.5501621786663439
elly0_d3_c40	2	k-means++	300	10	auto	0.23038038835213748
2d-2c-no0	2	k-means++	300	10	auto	1.0
cure-t1-500n-3D-4S	2	k-means++	300	10	auto	0.6056708741692347
tae	2	k-means++	300	10	auto	0.009679787260232615
heart-statlog	2	k-means++	300	10	auto	0.019912292457130217
elly0_d4_c25	2	k-means++	300	10	auto	0.3158702856355408
cure-t0-500n-4D-7S	2	k-means++	300	10	auto	0.46727048239530455
dense-disk-5000	2	k-means++	300	10	auto	0.0003517822914027569
elly2_d4_c20	2	k-means++	300	10	auto	0.3002102382563194
2d-15c-no2	2	k-means++	300	10	auto	0.3461916637639805
elly1_d2_c17	2	k-means++	300	10	auto	0.3605510505128691
elly1_d2_c25	2	k-means++	300	10	auto	0.3127487093147229
4d-40c-no1	2	k-means++	300	10	auto	0.24257929466611414
atom	2	k-means++	300	10	auto	0.30324251664059443
cure-t0-500n-5D-3S	2	k-means++	300	10	auto	0.5168990541616469
complex8	2	k-means++	300	10	auto	0.20534335816065816
