dataset	silhouette_score	calinski_harabasz_score	davies_bouldin_score	SSE	nSSE	ARI	MIS	v_measure	n_clusters	init	max_iter	n_init	algorithm
a1	0.353417564	10763.16966	1.050884398	8456378084	1409396.347	0.72084177	0.822107184	0.897601603	36	k-means++	300	10	auto
a1	0.393088941	10715.32821	0.963052757	9010040768	1501673.461	0.770321751	0.838814162	0.904713703	34	k-means++	300	10	auto
a1	0.38073836	10626.74147	0.997376697	8324860229	1387476.705	0.715244978	0.811990267	0.888680991	37	k-means++	300	10	auto
a1	0.370725229	10570.91144	1.004388032	7926008178	1321001.363	0.696872488	0.803293369	0.885411573	39	k-means++	300	10	auto
a1	0.341893241	10531.97963	1.03492357	7749998736	1291666.456	0.669928521	0.79284461	0.878818811	40	k-means++	300	10	auto
a1	0.335739387	10494.32739	1.095630894	7582004170	1263667.362	0.636090099	0.784959713	0.875704842	41	k-means++	300	10	auto
a1	0.298856964	10393.2047	1.063065252	7467505976	1244584.329	0.643832033	0.783370985	0.874870938	42	k-means++	300	10	auto
a1	0.342263848	10389.84097	1.008004009	7290524481	1215087.413	0.639807916	0.776613343	0.869463414	43	k-means++	300	10	auto
a1	0.319491292	10380.70871	0.993345989	6245771521	1040961.92	0.56530478	0.746505279	0.855116622	50	k-means++	300	10	auto
a1	0.326556129	10369.98472	1.034813874	7133648047	1188941.341	0.628715146	0.776473545	0.87268795	44	k-means++	300	10	auto
a1	0.344053495	10344.11857	1.019062405	6987139357	1164523.226	0.602469576	0.766489741	0.865512061	45	k-means++	300	10	auto
a1	0.332258094	10322.24316	1.002502285	6551012970	1091835.495	0.586703725	0.754251056	0.858524768	48	k-means++	300	10	auto
a1	0.301045813	10256.71808	0.932224186	5236977274	872829.5457	0.492984184	0.708406294	0.832556364	60	k-means++	300	10	auto
a1	0.324987393	10237.89874	1.017255354	6900967897	1150161.316	0.591959811	0.758690251	0.859425484	46	k-means++	300	10	auto
a1	0.325966231	10222.63682	1.005901468	6475296090	1079216.015	0.55656377	0.743143546	0.850337937	49	k-means++	300	10	auto
a1	0.309346733	10197.1258	0.976121767	6776429869	1129404.978	0.609387788	0.760165493	0.86107824	47	k-means++	300	10	auto
a1	0.333606804	10159.62531	0.904748568	4508575152	751429.192	0.43452249	0.679911828	0.817368343	70	k-means++	300	10	auto
a1	0.540699607	10035.87942	0.575605048	19755251156	3292541.859	0.835701273	0.903575984	0.935599604	17	k-means++	300	10	auto
a1	0.338014697	10022.26195	0.90822177	3980287010	663381.1684	0.401069743	0.657256671	0.803998148	80	k-means++	300	10	auto
a1	0.315113247	9984.78586	0.893430669	3995029242	665838.207	0.401543203	0.658520718	0.805584729	80	k-means++	300	10	auto
a1	0.306013803	9828.178622	0.877956877	2914250625	485708.4375	0.316938154	0.603378261	0.774209554	110	k-means++	300	10	auto
a1	0.31077388	9794.460095	0.880065632	3229862197	538310.3662	0.336864894	0.617366389	0.781228679	100	k-means++	300	10	auto
a1	0.301631816	9789.155828	0.861745745	2671438174	445239.6956	0.29293626	0.587285404	0.764647813	120	k-means++	300	10	auto
a1	0.202070396	9747.679805	0.853778576	2466604133	411100.6888	0.277534414	0.575702525	0.758708869	130	k-means++	300	10	auto
a1	0.504982395	8989.205393	0.578016437	23451932831	3908655.472	0.767590919	0.86616094	0.908341409	16	k-means++	300	10	auto
a1	0.502501864	8382.700383	0.614162	26867445973	4477907.662	0.735783056	0.84308464	0.894835712	15	k-means++	300	10	auto
a1	0.487688926	7997.34445	0.656195856	30241382345	5040230.391	0.69956955	0.815161426	0.876020457	14	k-means++	300	10	auto
a1	0.469221318	7637.4111	0.677626875	34189707913	5698284.652	0.668679727	0.792896497	0.863242157	13	k-means++	300	10	auto
